epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
254,0.1019078,0.18286926,5100.0,0.18467359,0.55,0.225,0.79793954,-14.230578,5100.0
255,0.10185412,0.18289194,5120.0,0.18449916,0.275,0.2,0.79798746,-14.79254,5120.0
256,0.10186025,0.18292351,5140.0,0.18444903,0.425,0.15,0.7981531,-13.941441,5140.0
257,0.1019193,0.18295732,5160.0,0.18436317,0.35,0.07500000000000001,0.7983183,-14.822025,5160.0
258,0.10198516,0.18295474,5180.0,0.18446784,0.50,0.15,0.79843277,-13.382151,5180.0
259,0.10213258,0.18297508,5200.0,0.18453455,0.42500000000000004,0.05,0.7984976,-12.16757,5200.0
260,0.102188274,0.18300506,5220.0,0.1844411,0.275,0.125,0.7986514,-15.325104,5220.0
261,0.10231198,0.18300998,5240.0,0.18446594,0.35,0.125,0.7987632,-13.834476,5240.0
262,0.10231969,0.18303682,5260.0,0.18437694,0.5,0.125,0.7988801,-12.160042,5260.0
263,0.102418125,0.18304387,5280.0,0.18444075,0.4,0.025,0.79888135,-14.443022,5280.0
264,0.10259961,0.183042,5300.0,0.18452932,0.375,0.025,0.79887867,-16.419992,5300.0
265,0.102613345,0.18306664,5320.0,0.18463568,0.45,0.15000000000000002,0.7990322,-12.884385,5320.0
